title,start_date_f,end_date_f,lat,lng,address,description,tags,source,
Summer Fitness in the Park,8/9/15,8/9/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago White Sox v Los Angeles Angels,8/10/15,8/10/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Los Angeles Angels August 10-12 at The Cell!,Sports & Recreation,choosechicago,
Chicago Cubs v Milwaukee Brewers,8/11/15,8/11/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Milwaukee Brewers August 11-13 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago White Sox v Los Angeles Angels,8/11/15,8/11/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Los Angeles Angels August 10-12 at The Cell!,Sports & Recreation,choosechicago,
Chicago Cubs v Milwaukee Brewers,8/12/15,8/12/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Milwaukee Brewers August 11-13 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago White Sox v Los Angeles Angels,8/12/15,8/12/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Los Angeles Angels August 10-12 at The Cell!,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/12/15,8/12/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Summer Fitness in the Park,8/12/15,8/12/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago Bears v Miami Dolphins,8/13/15,8/13/15,41.865699,-87.627039,Chicago Bears Soldier Field Chicago IL 60605,Watch the Chicago Bears play the Miami Dolphins live in this preseason game at Soldier Field!,Sports & Recreation,choosechicago,7 p.m.
Chicago Cubs v Milwaukee Brewers,8/13/15,8/13/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Milwaukee Brewers August 11-13 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago White Sox v Chicago Cubs,8/14/15,8/14/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Chicago Cubs August 14-16 at The Cell!,Sports & Recreation,choosechicago,
Chicago White Sox v Chicago Cubs,8/15/15,8/15/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Chicago Cubs August 14-16 at The Cell!,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/15/15,8/15/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Chicago White Sox v Chicago Cubs,8/16/15,8/16/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Chicago Cubs August 14-16 at The Cell!,Sports & Recreation,choosechicago,
Summer Fitness in the Park,8/16/15,8/16/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
U.S. Amateur,8/17/15,8/17/15,41.515245,-87.687123,Olympia Fields Country Club 2800 Country Club Dr. Olympia Fields IL 60461,Come watch the strongest field in worldwide amateur golf compete for the oldest national championship in the United States at Olympia Fields Country Club! This two-time U.S. Open venue is set to host its first U.S. Amateur with the 7234-yard par-70 North Course designed by Willie Park in 1923 ...,Sports & Recreation,choosechicago,
Chicago Cubs v Detroit Tigers,8/18/15,8/18/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Detroit Tigers August 18-19 at The Friendly Confines!,Sports & Recreation,choosechicago,
U.S. Amateur,8/18/15,8/18/15,41.515245,-87.687123,Olympia Fields Country Club 2800 Country Club Dr. Olympia Fields IL 60461,Come watch the strongest field in worldwide amateur golf compete for the oldest national championship in the United States at Olympia Fields Country Club! This two-time U.S. Open venue is set to host its first U.S. Amateur with the 7234-yard par-70 North Course designed by Willie Park in 1923 ...,Sports & Recreation,choosechicago,
Valor Games Midwest,8/18/15,8/18/15,41.865699,-87.627039,Multiple Chicago Locations Chicago IL 60605,The Valor Games Midwest is an introductory adaptive sports competition for veterans and service members with physical and visual disabilities. During the three-day event athletes compete in discus shot put cycling archery powerlifting and indoor rowing. Promoting healthy active lifestyles is important to successful community reintegration and overall life ...,Sports & Recreation,choosechicago,
Chicago Cubs v Detroit Tigers,8/19/15,8/19/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Detroit Tigers August 18-19 at The Friendly Confines!,Sports & Recreation,choosechicago,
U.S. Amateur,8/19/15,8/19/15,41.515245,-87.687123,Olympia Fields Country Club 2800 Country Club Dr. Olympia Fields IL 60461,Come watch the strongest field in worldwide amateur golf compete for the oldest national championship in the United States at Olympia Fields Country Club! This two-time U.S. Open venue is set to host its first U.S. Amateur with the 7234-yard par-70 North Course designed by Willie Park in 1923 ...,Sports & Recreation,choosechicago,
Valor Games Midwest,8/19/15,8/19/15,41.865699,-87.627039,Multiple Chicago Locations Chicago IL 60605,The Valor Games Midwest is an introductory adaptive sports competition for veterans and service members with physical and visual disabilities. During the three-day event athletes compete in discus shot put cycling archery powerlifting and indoor rowing. Promoting healthy active lifestyles is important to successful community reintegration and overall life ...,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/19/15,8/19/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Summer Fitness in the Park,8/19/15,8/19/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago Cubs v Atlanta Braves,8/20/15,8/20/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Atlanta Braves August 20-23 at The Friendly Confines! Budweiser Bleacher Fridays The Š—…90s are coming back for at least one afternoon as the Cubs host Š—…90s Day August 21 vs. the Atlanta Braves. Budweiser Bleacher guests will receive a re-issue neon Cubs hat ...,Sports & Recreation,choosechicago,
U.S. Amateur,8/20/15,8/20/15,41.515245,-87.687123,Olympia Fields Country Club 2800 Country Club Dr. Olympia Fields IL 60461,Come watch the strongest field in worldwide amateur golf compete for the oldest national championship in the United States at Olympia Fields Country Club! This two-time U.S. Open venue is set to host its first U.S. Amateur with the 7234-yard par-70 North Course designed by Willie Park in 1923 ...,Sports & Recreation,choosechicago,
Valor Games Midwest,8/20/15,8/20/15,41.865699,-87.627039,Multiple Chicago Locations Chicago IL 60605,The Valor Games Midwest is an introductory adaptive sports competition for veterans and service members with physical and visual disabilities. During the three-day event athletes compete in discus shot put cycling archery powerlifting and indoor rowing. Promoting healthy active lifestyles is important to successful community reintegration and overall life ...,Sports & Recreation,choosechicago,
Chicago Cubs v Atlanta Braves,8/21/15,8/21/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Atlanta Braves August 20-23 at The Friendly Confines! Budweiser Bleacher Fridays The Š—…90s are coming back for at least one afternoon as the Cubs host Š—…90s Day August 21 vs. the Atlanta Braves. Budweiser Bleacher guests will receive a re-issue neon Cubs hat ...,Sports & Recreation,choosechicago,
Chicago Sky v Washington Mystics,8/21/15,8/21/15,42.00505242,-87.88469704,Allstate Arena 6920 N Mannheim Rosemont IL 60018,See Chicago's exciting WNBA team play against Washington at Allstate Arena!,Sports & Recreation,choosechicago,7:30 p.m.
U.S. Amateur,8/21/15,8/21/15,41.515245,-87.687123,Olympia Fields Country Club 2800 Country Club Dr. Olympia Fields IL 60461,Come watch the strongest field in worldwide amateur golf compete for the oldest national championship in the United States at Olympia Fields Country Club! This two-time U.S. Open venue is set to host its first U.S. Amateur with the 7234-yard par-70 North Course designed by Willie Park in 1923 ...,Sports & Recreation,choosechicago,
Chicago Cubs v Atlanta Braves,8/22/15,8/22/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Atlanta Braves August 20-23 at The Friendly Confines! Budweiser Bleacher Fridays The Š—…90s are coming back for at least one afternoon as the Cubs host Š—…90s Day August 21 vs. the Atlanta Braves. Budweiser Bleacher guests will receive a re-issue neon Cubs hat ...,Sports & Recreation,choosechicago,
Chicago Fire v Colorado Rapids,8/22/15,8/22/15,41.737459,-87.803915,Chicago Fire Soccer Club Toyota Park Bridgeview IL 60455,See the Chicago Fire live at home against Colorado Rapids August 22 in this Major League Soccer match!,Sports & Recreation,choosechicago,7:30 p.m.
U.S. Amateur,8/22/15,8/22/15,41.515245,-87.687123,Olympia Fields Country Club 2800 Country Club Dr. Olympia Fields IL 60461,Come watch the strongest field in worldwide amateur golf compete for the oldest national championship in the United States at Olympia Fields Country Club! This two-time U.S. Open venue is set to host its first U.S. Amateur with the 7234-yard par-70 North Course designed by Willie Park in 1923 ...,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/22/15,8/22/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Boulevard Lakefront Tour,8/23/15,8/23/15,40.10756121,-89.1611563,Multiple Chicago Locations Chicago IL,In honor of Active Transportation Alliance's 30th Anniversary Four Star will be taking a break so they can bring back one of their most beloved events - The Boulevard Lakefront Tour (BLT). Riders can choose from 4 rides and revisit some of the original routes for BLT which started ...,Sports & Recreation,choosechicago,
Chicago Cubs v Atlanta Braves,8/23/15,8/23/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Atlanta Braves August 20-23 at The Friendly Confines! Budweiser Bleacher Fridays The Š—…90s are coming back for at least one afternoon as the Cubs host Š—…90s Day August 21 vs. the Atlanta Braves. Budweiser Bleacher guests will receive a re-issue neon Cubs hat ...,Sports & Recreation,choosechicago,
U.S. Amateur,8/23/15,8/23/15,41.515245,-87.687123,Olympia Fields Country Club 2800 Country Club Dr. Olympia Fields IL 60461,Come watch the strongest field in worldwide amateur golf compete for the oldest national championship in the United States at Olympia Fields Country Club! This two-time U.S. Open venue is set to host its first U.S. Amateur with the 7234-yard par-70 North Course designed by Willie Park in 1923 ...,Sports & Recreation,choosechicago,
Summer Fitness in the Park,8/23/15,8/23/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago Cubs v Cleveland Indians,8/24/15,8/24/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Cleveland Indians August 24 at The Friendly Confines!,Sports & Recreation,choosechicago,TBD
Chicago White Sox v Boston Red Sox,8/24/15,8/24/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Boston Red Sox August 24-26 at The Cell!,Sports & Recreation,choosechicago,
Chicago White Sox v Boston Red Sox,8/25/15,8/25/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Boston Red Sox August 24-26 at The Cell!,Sports & Recreation,choosechicago,
Chicago Fire v New York Red Bulls,8/26/15,8/26/15,41.737459,-87.803915,Chicago Fire Soccer Club Toyota Park Bridgeview IL 60455,See the Chicago Fire live at home against the New York Red Bulls August 26 in this Major League Soccer match!,Sports & Recreation,choosechicago,7:30 p.m.
Chicago White Sox v Boston Red Sox,8/26/15,8/26/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Boston Red Sox August 24-26 at The Cell!,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/26/15,8/26/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
Summer Fitness in the Park,8/26/15,8/26/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago White Sox v Seattle Mariners,8/27/15,8/27/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Seattle Mariners August 27-30 at The Cell!,Sports & Recreation,choosechicago,
AVP Chicago Open,8/28/15,8/28/15,41.90083738,-87.62431558,Oak Street Beach 1000 N. Lakeshore Dr. Chicago IL 60611,The AVP Pro Beach Volleyball Tour will make its return to Chicago this summer at Oak Street Beach. Chicago has been an annual stop nearly every year since 1983 and is the most frequent location for a beach volleyball tournament outside of California. All within view of Chicago's skyline ...,Sports & Recreation,choosechicago,
Chicago White Sox v Seattle Mariners,8/28/15,8/28/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Seattle Mariners August 27-30 at The Cell!,Sports & Recreation,choosechicago,
AVP Chicago Open,8/29/15,8/29/15,41.90083738,-87.62431558,Oak Street Beach 1000 N. Lakeshore Dr. Chicago IL 60611,The AVP Pro Beach Volleyball Tour will make its return to Chicago this summer at Oak Street Beach. Chicago has been an annual stop nearly every year since 1983 and is the most frequent location for a beach volleyball tournament outside of California. All within view of Chicago's skyline ...,Sports & Recreation,choosechicago,
Chicago White Sox v Seattle Mariners,8/29/15,8/29/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Seattle Mariners August 27-30 at The Cell!,Sports & Recreation,choosechicago,
Millennium Park Workouts,8/29/15,8/29/15,41.88420075,-87.62297634,Millennium Park 201 E. Randolph St. Chicago IL 60601,Millennium Park will once again offer FREE Summer Workouts on the Great Lawn funded by McDonald's featuring music during yoga and pilates - and drumming during ZumbaÎÂ.,Sports & Recreation Millennium Park,choosechicago,
AVP Chicago Open,8/30/15,8/30/15,41.90083738,-87.62431558,Oak Street Beach 1000 N. Lakeshore Dr. Chicago IL 60611,The AVP Pro Beach Volleyball Tour will make its return to Chicago this summer at Oak Street Beach. Chicago has been an annual stop nearly every year since 1983 and is the most frequent location for a beach volleyball tournament outside of California. All within view of Chicago's skyline ...,Sports & Recreation,choosechicago,
Chicago Sky v Connecticut Sun,8/30/15,8/30/15,42.00505242,-87.88469704,Allstate Arena 6920 N Mannheim Rosemont IL 60018,See Chicago's exciting WNBA team play against Connecticut at Allstate Arena!,Sports & Recreation,choosechicago,6 p.m.
Chicago White Sox v Seattle Mariners,8/30/15,8/30/15,41.844775,-87.626719,Chicago White Sox U.S. Cellular Field Chicago IL 60616,See the White Sox play the Seattle Mariners August 27-30 at The Cell!,Sports & Recreation,choosechicago,
Transamerica Chicago Triathlon,8/30/15,8/30/15,0,0,Chicago IL,For more than 30 years triathletes have gathered on the shores of Lake Michigan for one of the largest triathlons in the world. The Transamerica Chicago Triathlon is an action-packed tour through one of America's signature metropolises. For professionals amateurs and kids alike there's nothing better than racing along ...,Sports & Recreation,choosechicago,
Summer Fitness in the Park,8/30/15,8/30/15,42.0027,-87.90084,MB Financial Park 5501 Park Place Rosemont IL 60018,MB Financial Park at Rosemont will team up with Rosemont Health and Fitness again this year for Summer Fitness in the Park. The series features free outdoor yoga and zumba classes. The classes are multi-level and open to everyone from kids to experienced practitioners.,Sports & Recreation,choosechicago,
Chicago Cubs v Cincinnati Reds,8/31/15,8/31/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Cincinnati Reds August 31 - September 2 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago Cubs v Cincinnati Reds,9/1/15,9/1/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Cincinnati Reds August 31 - September 2 at The Friendly Confines!,Sports & Recreation,choosechicago,
Chicago Cubs v Cincinnati Reds,9/2/15,9/2/15,41.955735,-87.66121,Chicago Cubs Wrigley Field Chicago IL 60613,See the Chicago Cubs play against the Cincinnati Reds August 31 - September 2 at The Friendly Confines!,Sports & Recreation,choosechicago,
